"offense","count","percent_of_total"
"Drug","12867","36.83%"
"Property","17085","48.91%"
"Aggravated Assualt","1420","4.06%"
"Violent","2368","6.78%"
"Sex","1195","3.42%"
"TOTAL","34935","100.00%"
