"offense","count","percent_of_total"
"Drug","11736","37.27%"
"Property","14897","47.31%"
"Aggravated Assualt","1242","3.94%"
"Violent","2528","8.03%"
"Sex","1082","3.44%"
"TOTAL","31485","100.00%"
