"offense","count","percent_of_total"
"Drug","9224","38.56%"
"Property","10544","44.08%"
"Violent","2264","9.46%"
"Sex","919","3.84%"
"Aggravated Assault","969","4.05%"
"TOTAL","23920","100.00%"
