"offense","count","percent_of_total"
"Drug","12904","37.01%"
"Property","16688","47.86%"
"Aggravated Assualt","1372","3.93%"
"Violent","2730","7.83%"
"Sex","1176","3.37%"
"TOTAL","34870","100.00%"
