"offense","count","percent_of_total"
"Drug","11105","37.12%"
"Property","14198","47.46%"
"Aggravated Assualt","1239","4.14%"
"Violent","2183","7.30%"
"Sex","1190","3.98%"
"TOTAL","29915","100.00%"
