"offense","count","percent_of_total"
"Drug","9,914","38.42%"
"Property","11,936","46.26%"
"Aggravated Assualt","1,083","4.20%"
"Violent","1,952","7.57%"
"Sex","918","3.56%"
"TOTAL","25,803","100.00%"
