"offense","count","percent_of_total"
"Drug","9383","38.61%"
"Property","11126","45.78%"
"Aggravated Assualt","995","4.09%"
"Violent","1895","7.80%"
"Sex","905","3.72%"
"TOTAL","24304","100.00%"
