"offense","count","percent_of_total"
"Drug","12,083","36.39%"
"Property","15,894","47.87%"
"Aggravated Assualt","1,330","4.01%"
"Violent","2,613","7.87%"
"Sex","1,283","3.86%"
"TOTAL","33,203","100.00%"
