"offense","count","percent_of_total"
"Drug","12261","36.40%"
"Property","16138","47.91%"
"Aggravated Assualt","1335","3.96%"
"Violent","2650","7.87%"
"Sex","1303","3.87%"
"TOTAL","33687","100.00%"
