"offense","count","percent_of_total"
"Drug","13291","37.11%"
"Property","17472","48.78%"
"Aggravated Assualt","1430","3.99%"
"Violent","2419","6.75%"
"Sex","1205","3.36%"
"TOTAL","35817","100.00%"
