"offense","count","percent_of_total"
"Drug","12,945","36.83%"
"Property","17,123","48.72%"
"Aggravated Assualt","1,452","4.13%"
"Violent","2,396","6.82%"
"Sex","1,229","3.50%"
"TOTAL","35,145","100.00%"
