"offense","count","percent_of_total"
"Drug","11328","37.08%"
"Property","14537","47.58%"
"Aggravated Assualt","1259","4.12%"
"Violent","2213","7.24%"
"Sex","1217","3.98%"
"TOTAL","30554","100.00%"
