"COUNTY","OFFENDERS","%"
"Clarke","2","1.47"
"Lawrence","0",".00"
"Clay","3","2.21"
"Leake","1",".74"
"Covington","0",".00"
"Lowndes","13","9.56"
"Forrest","6","4.41"
"Marion","4","2.94"
"George","4","2.94"
"Neshoba","2","1.47"
"Greene","2","1.47"
"Newton","1",".74"
"Hancock","1",".74"
"Noxubee","1",".74"
"Harrison","23","16.91"
"Oktibbeha","5","3.68"
"Jackson","21","15.44"
"Pearl River","5","3.68"
"Jasper","2","1.47"
"Perry","1",".74"
"Jeff Davis","0",".00"
"Scott","2","1.47"
"Jones","5","3.68"
"Simpson","5","3.68"
"Kemper","0",".00"
"Smith","3","2.21"
"Lamar","6","4.41"
"Stone","1",".74"
"Lauderdale","14","10.29"
"Wayne","3","2.21"
"Verification Pending","3",".75"
"TOTAL","400","100.00"
