"","","","Offenders Age 50 and Over","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","5","2.48","Montgomery","4","1.98"
"","Attala","4","1.98","Panola","8","3.96"
"","Benton","0",".00","Pontotoc","11","5.45"
"","Bolivar","7","3.47","Prentiss","6","2.97"
"","Calhoun","6","2.97","Quitman","2",".99"
"","Carroll","2",".99","Sunflower","6","2.97"
"","Chickasaw","9","4.46","Tallahatchie","2",".99"
"Northern","Choctaw","0",".00","Tate","2",".99"
"Counties","","","","","",""
"","Coahoma","9","4.46","Tippah","4","1.98"
"","Desoto","27","13.37","Tishomingo","2",".99"
"","Grenada","9","4.46","Tunica","6","2.97"
"","Itawamba","3","1.49","Union","3","1.49"
"","Lafayette","6","2.97","Washington","6","2.97"
"","Lee","20","9.90","Webster","4","1.98"
"","Leflore","5","2.48","Winston","5","2.48"
"","Marshall","10","4.95","Yalobusha","2",".99"
"","Monroe","7","3.47","TOTAL","202","31.71"
