"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"*Y","1","0","0","0","1"
"*0","1","1","0","0","2"
"1","708","701","6","3","1,418"
"2","232","209","3","0","444"
"3","113","98","1","0","212"
"4","23","22","0","0","45"
"5","9","1","0","0","10"
"Verification Pending","186","207","2","11","406"
"TOTAL","1,273","1,239","12","14","2,538"
