"COUNTY","OFFENDERS","%"
"Clarke","1",".36"
"Lawrence","1",".36"
"Clay","6","2.19"
"Leake","2",".73"
"Covington","2",".73"
"Lowndes","22","8.03"
"Forrest","30","10.95"
"Marion","7","2.55"
"George","3","1.09"
"Neshoba","8","2.92"
"Greene","1",".36"
"Newton","3","1.09"
"Hancock","10","3.65"
"Noxubee","1",".36"
"Harrison","52","18.98"
"Oktibbeha","16","5.84"
"Jackson","29","10.58"
"Pearl River","7","2.55"
"Jasper","2",".73"
"Perry","1",".36"
"Jeff Davis","0",".00"
"Scott","9","3.28"
"Jones","15","5.47"
"Simpson","4","1.46"
"Kemper","2",".73"
"Smith","1",".36"
"Lamar","4","1.46"
"Stone","3","1.09"
"Lauderdale","28","10.22"
"Wayne","4","1.46"
"TOTAL","274","43.01"
