"COUNTY","OFFENDERS","%"
"Alcorn","1","2.78"
"Montgomery","0",".00"
"Attala","1","2.78"
"Panola","5","13.89"
"Benton","0",".00"
"Pontotoc","1","2.78"
"Bolivar","0",".00"
"Prentiss","1","2.78"
"Calhoun","1","2.78"
"Quitman","2","5.56"
"Carroll","1","2.78"
"Sunflower","0",".00"
"Chickasaw","0",".00"
"Tallahatchie","2","5.56"
"Choctaw","2","5.56"
"Tate","1","2.78"
"Coahoma","1","2.78"
"Tippah","0",".00"
"Desoto","2","5.56"
"Tishomingo","0",".00"
"Grenada","2","5.56"
"Tunica","0",".00"
"Itawamba","0",".00"
"Union","1","2.78"
"Lafayette","1","2.78"
"Washington","0",".00"
"Lee","8","22.22"
"Webster","0",".00"
"Leflore","3","8.33"
"Winston","0",".00"
"Marshall","0",".00"
"Yalobusha","0",".00"
"Monroe","0",".00"
"TOTAL","36","29.51"
