"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","130","5.86","Lincoln","91","4.10"
"","Amite","22",".99","Madison","255","11.50"
"","Claiborne","27","1.22","Pike","210","9.47"
"","Copiah","86","3.88","Rankin","368","16.60"
"Central","","","","","",""
"","Franklin","19",".86","Sharkey","16",".72"
"Counties","","","","","",""
"","Hinds","599","27.02","Walthall","43","1.94"
"","Holmes","49","2.21","Warren","140","6.31"
"","Humphreys","50","2.26","Wilkinson","17",".77"
"","Issaquena","1",".05","Yazoo","79","3.56"
"","Jefferson","15",".68","TOTAL","2,217","25.20"
