"FACILITY","MAR","APR","MAY","JUN"
"Mississippi State Penitentiary","4,217","4,185","4,178","4,201"
"Central Mississippi Correctional Facility","3,591","3,706","3,729","3,737"
"South Mississippi Correctional Institution","3,096","3,113","3,124","3,131"
"County Jails","1,934","1,988","2,020","1,965"
"Community Work Centers","1,776","1,758","1,783","1,773"
"County/Regional Facilities","3,079","3,082","3,082","3,083"
"Private Prisons","4,796","4,811","4,800","4,805"
"Restitution Centers","13","12","12","15"
"Governor's Mansion","5","5","6","6"
"*E-CODE","20","16","22","40"
"TOTAL","22,527","22,676","22,756","22,756"
"ACTUAL CAPACITY","22,988","22,988","22,964","22,971"
