"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","1,418","72","1,490","15.19"
"Homicide/Manslaughter","223","19","242","2.47"
"Property","2,121","543","2,664","27.16"
"Possession of Drugs","2,189","330","2,519","25.68"
"Robbery","559","29","588","5.99"
"Sale of Drugs","1,202","164","1,366","13.93"
"Sex Offense","387","13","400","4.08"
"Violent","496","44","540","5.51"
"TOTAL","8,595","1,214","9,809","100.00"
