"COUNTY","JUN '08","JUN '07","JUN '06","JUN '05","JUN '04","JUN '03"
"Warren","3","2","7","11","10","10"
"Washington","1","1","2","8","4","8"
"Wayne","2","3","0","3","6","6"
"Webster","1","6","7","3","9","2"
"Wilkinson","0","0","0","0","0","1"
"Winston","0","3","2","5","2","0"
"Yalobusha","1","2","0","3","7","3"
"Yazoo","2","3","3","3","4","2"
"TOTALS","214","234","202","390","409","401"
