"MALE","","","","",""
"OFFENSES","BLACK","","WHITE  HISPANIC","OTHER","TOTAL"
"Burglary","1,858","1,038","20","8","2,924"
"Homicide/Manslaughter","1,761","603","15","6","2,385"
"Possession of Drugs","2,523","1,544","66","15","4,148"
"Sale of Drugs","3,605","529","7","5","4,146"
"Robbery","2,376","380","9","7","2,772"
"Sex Offense","1,151","996","21","8","2,176"
"Violent","1,121","402","11","5","1,539"
"Property","1,689","1,397","31","19","3,136"
"TOTAL","16,084","6,889","180","73","23,226"
