"","1 
 Verification Pending",".82"
"","TOTAL 
 
122","100.00"
"","Northern County with highest number convictions","Lee 
8"
"","Central County with highest number convictions","Copiah 
5"
"","Southern County with highest number convictions","Forrest, Lauderdale 
11"
"","Northern Counties with lowest number convictions","Alcorn, Attala,"
"","","Calhoun, Carroll,"
"RECAP","",""
"","","Coahoma, Lafayette, 
1"
"","","Pontotoc, Prentiss,"
"","","Tate, Union"
"","Central Counties with lowest number convictions","Claiborne, Jefferson,"
"","","Warren, Wilkinson,"
"","","Yazoo"
"","Southern Counties with lowest number convictions","Jackson, Leake,"
"","","Marion,"
