"MALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"*Y","3","2","0","0","5"
"*0","13","6","0","0","19"
"1","12,177","4,645","140","39","17,001"
"2","1,829","984","17","8","2,838"
"3","1,049","528","7","4","1,588"
"4","220","156","1","1","378"
"5","68","46","0","0","114"
"Verification Pending","725","521","15","22","1,283"
"TOTAL","16,084","6,888","180","74","23,226"
