"MALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Possession of Drugs","1,385","753","43","8","2,189"
"Sale of Drugs","1,015","183","2","2","1,202"
"TOTAL","2,400","936","45","10","3,391"
