"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Adams","74","8.23","Lincoln","32","3.56"
"","Amite","6",".67","Madison","125","13.90"
"","Claiborne","8",".89","Pike","119","13.24"
"","Copiah","34","3.78","Rankin","155","17.24"
"Central","","","","","",""
"","Franklin","10","1.11","Sharkey","6",".67"
"Counties","","","","","",""
"","Hinds","172","19.13","Walthall","34","3.78"
"","Holmes","18","2.00","Warren","63","7.01"
"","Humphreys","12","1.33","Wilkinson","2",".22"
"","Issaquena","0",".00","Yazoo","29","3.23"
"","Jefferson","0",".00","TOTAL","899","23.14"
