"FEMALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Burglary","48","114","0","1","163"
"Homicide/Manslaughter","126","67","0","0","193"
"Possession of Drugs","186","356","6","3","551"
"Sale of Drugs","329","157","2","0","488"
"Robbery","83","35","0","0","118"
"Sex Offense","11","23","0","0","34"
"Violent","82","39","1","0","122"
"Property","408","448","3","10","869"
"TOTAL","1,273","1,239","12","14","2,538"
