"FACILITY","NOV","DEC","JAN","FEB"
"Mississippi State Penitentiary","4,362","4,327","4,280","4,210"
"Central Mississippi Correctional Facility","3,478","3,506","3,500","3,576"
"South Mississippi Correctional Institution","3,002","3,062","3,093","3,064"
"County Jails","1,773","1,783","1,806","1,903"
"Community Work Centers","1,798","1,814","1,750","1,741"
"County/Regional Facilities","3,081","3,079","3,077","3,079"
"Private Prisons","4,794","4,794","4,784","4,781"
"Restitution Centers","13","12","12","13"
"Governor's Mansion","5","5","5","5"
"*E-CODE","15","7","34","32"
"TOTAL","22,321","22,389","22,341","22,404"
"ACTUAL CAPACITY","22,685","22,725","22,984","22,987"
