"OFFENSE","MALE","FEMALE","TOTAL","%"
"Child Molestation","8","0","8","2.00"
"Fondling a Child","3","1","4","1.00"
"Child Pornography","3","0","3",".75"
"Peeping Tom","5","0","5","1.25"
"Entice Child for Indecent Purposes","6","0","6","1.50"
"Incest","1","0","1",".25"
"Sex Offense","1","0","1",".25"
