"","TOTAL 
 
637","100.00"
"","Northern County with highest number convictions","Desoto 
27"
"","Central County with highest number convictions","Hinds, Rankin 
31"
"","Southern County with highest number convictions","Harrison 
52"
"RECAP","",""
"","Northern Counties with lowest number convictions","Carroll, Quitman"
"","","Tallahatchie, Tate, 
2"
"","","Tishomingo, Yalobusha"
"","Central Counties with lowest number convictions","Franklin, Humphreys 
1"
"","Southern Counties with lowest number convictions","Clarke, Lawrence,"
"","","Greene, Noxubee, 
1"
"","","Perry Smith"
