"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","2,924","163","3,087","11.98"
"Homicide/Manslaughter","2,385","193","2,578","10.01"
"Possession of Drugs","4,148","551","4,699","18.24"
"Sale of Drugs","4,146","488","4,634","17.99"
"Robbery","2,772","118","2,890","11.22"
"Sex Offense","2,176","34","2,210","8.58"
"Violent","1,539","122","1,661","6.45"
"Property","3,136","869","4,005","15.54"
"TOTAL","23,226","2,538","25,764","100.00"
