"MARION/WALTHALL CORRECTIONAL FACILITY","",""
"Program Area","Enrollment Capacity","Program Length"
"Automotive Skills","10","6 Weeks"
"General Educational Development","36","4 to 5 Months"
"Substance Abuse Treatment Education","25","4 Months"
