"Other States Offenders Supervised in Mississippi","","","","","",""
"Month","","Parolees","","Probationers","","Total"
"JUL","","234","","737","","971"
"AUG","","238","","751","","989"
"SEP","","240","","751","","991"
"OCT","","238","","749","","987"
"NOV","","234","","742","","976"
"DEC","","233","","741","","974"
"JAN","","235","","756","","991"
"FEB","","223","","747","","970"
"MAR","","242","","769","","1,011"
"APR","","229","","760","","989"
"MAY","","455","","1,255","","1,710"
"JUN","","464","","1,283","","1,747"
