"CLASS","FEMALE","%"
"MOA","510","20.09"
"MORA","622","24.51"
"MOB","487","19.19"
"MORB","330","13.00"
"C","17",".67"
"D","1",".04"
"DR","3",".12"
"*Unclassified","568","22.38"
"TOTAL","2,538","100.00"
