"","Verification Pending 
3",".75"
"","TOTAL 
 
400","100.00"
"","Northern County with highest number convictions","DeSoto 
30"
"","Central County with highest number convictions","Rankin 
35"
"","Southern County with highest number convictions","Harrison 
23"
"","","Benton, Montgomery,"
"RECAP","Northern Counties with lowest number convictions","Quitman, Tippah, 
1"
"","","Winston"
"","","Adams, Franklin,"
"","Central Counties with lowest number convictions","Humphreys, Jefferson, 
1"
"","","Sharkey"
"","","Hancock, Leake,"
"","Southern Counties with lowest number convictions","Newton, Noxubee,"
"","","Perry, Stone"
