"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","36",".99","Lawrence","30",".83"
"","Clay","83","2.29","Leake","51","1.41"
"","Covington","31",".86","Lowndes","303","8.37"
"","Forrest","270","7.46","Marion","103","2.85"
"","George","65","1.80","Neshoba","94","2.60"
"","Greene","38","1.05","Newton","45","1.24"
"","Hancock","79","2.18","Noxubee","23",".64"
"Southern","","","","","",""
"","Harrison","742","20.50","Oktibbeha","154","4.25"
"Counties","","","","","",""
"","Jackson","314","8.67","Pearl River","161","4.45"
"","Jasper","35",".97","Perry","23",".64"
"","Jeff Davis","28",".77","Scott","104","2.87"
"","Jones","144","3.98","Simpson","41","1.13"
"","Kemper","14",".39","Smith","21",".58"
"","Lamar","129","3.56","Stone","50","1.38"
"","Lauderdale","353","9.75","Wayne","56","1.55"
"","","","","TOTAL","3,620","41.15"
