"","","TOTAL","1,719","44.25"
"","","NUMBER","","%"
"","Northern","1,250","","32.18"
"","Central","899","","23.14"
"TOTAL","","","",""
"","Southern","1,719","","44.25"
"","Verification Pending","17","",".44"
"","TOTAL","3,885","","100.00"
