"MALE","BLACK","WHTIE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","84","72","0","2","158",".68"
"1 - 2 Years","1,204","728","20","6","1,958","8.44"
"3 - 5 Years","3,687","1,841","44","13","5,585","24.07"
"6 - 10 Years","4,541","1,985","56","16","6,598","28.43"
"11 - 20 Years","3,514","1,215","36","8","4,773","20.57"
"21 -30 Years","873","254","11","2","1,140","4.91"
"Greater Than 30 Years","559","128","2","1","690","2.97"
"Life","1,344","483","7","4","1,838","7.92"
"Death","32","28","0","1","61",".26"
"Verification Pending","246","155","4","1","406","1.75"
"TOTAL","16,084","6,889","180","54","23,207","100.00"
