"COUNTY","OFFENDERS","%"
"Alcorn","2","1.32"
"Montgomery","1",".66"
"Attala","7","4.61"
"Panola","4","2.63"
"Benton","1",".66"
"Pontotoc","7","4.61"
"Bolivar","0",".00"
"Prentiss","0",".00"
"Calhoun","5","3.29"
"Quitman","1",".66"
"Carroll","0",".00"
"Sunflower","9","5.92"
"Chickasaw","4","2.63"
"Tallahatchie","3","1.97"
"Choctaw","2","1.32"
"Tate","2","1.32"
"Coahoma","7","4.61"
"Tippah","1",".66"
"Desoto","30","19.74"
"Tishomingo","3","1.97"
"Grenada","6","3.95"
"Tunica","0",".00"
"Itawamba","3","1.97"
"Union","3","1.97"
"Lafayette","13","8.55"
"Washington","6","3.95"
"Lee","15","9.87"
"Webster","2","1.32"
"Leflore","6","3.95"
"Winston","1",".66"
"Marshall","5","3.29"
"Yalobusha","0",".00"
"Monroe","3","1.97"
"TOTAL","152","38.00"
