"Offense","Male","Female","Total","Percent"
"DRUG","253","34","287","36.33%"
"NON-VIOLENT","314","33","347","43.92%"
"SEX","47","0","47","5.95%"
"VIOLENT","103","6","109","13.80%"
"Total","717","73","790","100.00%"
