"Age","Male","Female","Total","Percent"
"16","2","0","2","0.62%"
"17","2","0","2","0.62%"
"18-19","17","0","17","5.28%"
"20-29","109","6","115","35.71%"
"30-39","80","5","85","26.40%"
"40-49","54","0","54","16.77%"
"50-59","30","0","30","9.32%"
"60-69","12","0","12","3.73%"
"70-79","4","0","4","1.24%"
"80-89","1","0","1","0.31%"
"Total","311","11","322","100.00%"
