"Race","Male","Female","Total","Percent"
"White","1,240","399","1,639","52.00%"
"Black","1,388","66","1,454","46.13%"
"Hispanic","36","4","40","1.27%"
"Other","17","2","19","0.60%"
"Unknown","0","0","0","0.00%"
"Total","2,681","471","3,152","100.00%"
