"Race","Male","Female","Total","Percent"
"White","161","8","169","52.48%"
"Black","130","3","133","41.30%"
"Hispanic","15","0","15","4.66%"
"Other","5","0","5","1.55%"
"Total","311","11","322","100.00%"
