"Age","Male","Female","Total","Percent"
"50-59","590","67","657","83.16%"
"60-69","115","6","121","15.32%"
"70-79","10","0","10","1.27%"
"80+","2","0","2","0.25%"
"Unknown","0","0","0","0.00%"
"Total","717","73","790","100.00%"
