"Age","Male","Female","Total","Percent"
"18-19","10","2","12","0.38%"
"20-29","708","122","830","26.33%"
"30-39","1,154","220","1,374","43.59%"
"40-49","556","93","649","20.59%"
"50-59","213","33","246","7.80%"
"60-69","38","1","39","1.24%"
"70-79","2","0","2","0.06%"
"80+","0","0","0","0.00%"
"Total","2,681","471","3,152","100.00%"
