"Offense","Black","White","Hispanic","Other","Total"
"Drug Intent","282","271","12","4","569"
"Possession of Drugs","568","677","19","13","1,277"
"Sale of Drugs","538","292","5","0","835"
"Total","1,388","1,240","36","17","2,681"
