"Offense","Male","Female","Total","Percent"
"DRUG","2,681","471","3,152","36.44%"
"NON-VIOLENT","2,753","384","3,137","36.27%"
"SEX","311","11","322","3.72%"
"VIOLENT","1,865","174","2,039","23.57%"
"Total","7,610","1,040","8,650","100.00%"
