"Race","Male","Female","Total","Percent"
"White","350","58","408","51.65%"
"Black","357","14","371","46.96%"
"Hispanic","6","0","6","0.76%"
"Other","4","1","5","0.63%"
"Unknown","0","0","0","0.00%"
"Total","717","73","790","100.00%"
