"Race","Male","Female","Total","Percent"
"White","2","0","2","5.26%"
"Black","36","0","36","94.74%"
"Hispanic","0","0","0","0.00%"
"Other","0","0","0","0.00%"
"Total","38","0","38","100.00%"
