"OFFENSE","Average Sentence Length in Years"
"CHILD ENDANGERMENT","9.6"
"CHILD MOLESTATION","6.4"
"CHILD PORNOGRAPHY","12.3"
"ENTICE CHILD FOR INDECENT PURPOSES","4.0"
"EXPLOITATION/CHILD","8.2"
"FONDLING","9.2"
"FONDLING A CHILD","7.3"
"FORCIBLE SEXUAL INTERCOURSE","27.0"
"GRATIFICATION/LUST","8.2"
"HUMAN TRAFFICKING","9.0"
"KIDNAP MINOR","12.8"
"RAPE","25.0"
"SEXUAL BATTERY","12.5"
"SEXUAL PENETRATION OF INCARCERATED OFFENDER BY 
LAW ENFORCEMENT","1.5"
"STATUTORY RAPE","7.7"
"UNLAWFUL TOUCHING/CHILD","11.0"
"VIDEO VOYEURISM-PHOTOGRAPHING OR FILMING","14.8"
"COMPUTER LURING OF CHILD FOR SEXUAL CONDUCT","1.0"
"SEX OFFENSE","23.0"
"INCEST","5.0"
"SEX ASSAULT","10.0"
"SEXUAL ABUSE - VULNERABLE ADULT","20.0"
