"GENDER 
MALE 
  
FEMALE 
  
TOTAL","","","","",""
"8,651 
 
1,172 
 
9,823","","","","",""
"","","","","",""
"RACE","MALE","FEMALE","","TOTAL","%"
"White","3,144","686","","3,830","38.99"
"Black","5,401","470","","5,871","59.77"
"Hispanic","78","8","","86",".88"
"Other","26","8","","34",".35"
"Unknown Race","2","0","","2",".02"
"","","","","",""
"A","","","","",""
"GE","MALE","FEMALE","","TOTAL","%"
"15","7","0","","7",".07"
"16","21","1","","22",".22"
"17","70","2","","72",".73"
"18 - 19","547","21","","568","5.78"
"20-29","3,717","430","","4,147","42.22"
"30-39","2,319","385","","2,704","27.53"
"40-49","1,384","255","","1,639","16.69"
"50-59","506","69","","575","5.85"
"60-69","73","8","","81",".82"
"70 - 79","6","1","","7",".07"
"80+","1","0","","1",".01"
"Verification Pending","0","0","","0",".00"
"","","","","",""
"O","","","","",""
"FFENSE","MALE","FEMALE","","TOTAL","%"
"Burglary","1,505","78","","1,583","16.12"
"Homicide/Manslaughter","200","35","","235","2.39"
"Property","2,069","439","","2,508","25.53"
"Possession of Drugs","2,080","315","","2,395","24.38"
"Robbery","585","31","","616","6.27"
"Sale of Drugs","1,190","168","","1,358","13.82"
"Sex Offense","393","16","","409","4.16"
"Violent","629","90","","719","7.32"
