"","","","Drug Offenders","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Clarke","8",".47","Lawrence","9",".50"
"","Clay","34","1.99","Leake","33","1.93"
"","Covington","5",".29","Lowndes","155","9.07"
"","Forrest","121","7.08","Marion","31","1.81"
"","George","51","2.98","Neshoba","40","2.34"
"","Greene","10",".59","Newton","12",".70"
"","Hancock","52","3.04","Noxubee","7",".41"
"Southern","","","","","",""
"","Harrison","450","26.33","Oktibbeha","62","3.63"
"Counties","","","","","",""
"","Jackson","192","11.23","Pearl River","57","3.34"
"","Jasper","19","1.11","Perry","15",".88"
"","Jeff Davis","6",".35","Scott","47","2.75"
"","Jones","47","2.75","Simpson","11",".64"
"","Kemper","3",".18","Smith","7",".41"
"","Lamar","43","2.52","Stone","40","2.34"
"","Lauderdale","122","7.14","Wayne","20","1.17"
"","","","","TOTAL","1,709","45.54"
