"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","32","0","32","31.69"
"Homicide/Manslaughter","7","0","7","6.93"
"Property","14","2","16","15.84"
"Robbery","29","0","29","28.71"
"Sex Offense","10","0","10","9.90"
"Violent","6","1","7","6.93"
"TOTAL","98","3","101","100.00"
