"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"16","0","0","0","0","0"
"17","2","1","0","0","3"
"18 - 19","9","7","0","0","16"
"20 - 29","315","346","3","4","668"
"30 - 39","316","386","7","3","712"
"40 - 49","228","303","4","1","536"
"50 - 59","104","94","0","0","198"
"60 - 69","12","22","1","0","35"
"70 - 79","4","2","0","0","6"
"80+","0","0","0","0","0"
"TOTAL","990","1,161","15","8","2,174"
