"FACILITY","NOV","DEC","JAN","FEB"
"Mississippi State Penitentiary","3,930","3,930","3,911","3,898"
"Central Mississippi Correctional Facility","3,219","3,233","3,148","3,190"
"South Mississippi Correctional Institution","2,715","2,883","3,050","3,090"
"County Jails","1,534","1,532","1,560","1,468"
"Community Work Centers","1,736","1,787","1,702","1,733"
"County/Regional Facilities","2,891","2,816","2,740","2,693"
"Private Prisons","5,414","5,295","5,235","5,206"
"Restitution Centers","9","10","10","9"
"Governor's Mansion","5","6","6","6"
"*E-CODE","17","10","36","30"
"TOTAL","21,472","21,502","21,398","21,322"
"ACTUAL CAPACITY","23,796","23,807","23,795","23,775"
