"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","44","1","45","6.78"
"Homicide/Manslaughter","21","5","26","3.92"
"Property","180","24","204","30.72"
"Possession of Drugs","135","14","149","22.44"
"Robbery","13","0","13","1.96"
"Sale of Drugs","87","22","109","16.42"
"Sex Offense","55","2","57","8.58"
"Violent","51","10","61","9.19"
"TOTAL","586","78","664","100.00"
