"OFFENSES","MALE","FEMALE","TOTAL","%"
"Burglary","1,414","75","1,489","14.43"
"Homicide/Manslaughter","161","20","181","1.75"
"Property","2,096","503","2,599","25.19"
"Possession of Drugs","2,251","378","2,629","25.48"
"Robbery","492","31","523","5.07"
"Sale of Drugs","1,751","232","1,983","19.22"
"Sex Offense","264","9","273","2.65"
"Violent","569","72","641","6.21"
"TOTAL","8,998","1,320","10,318","100.00"
