"FEMALE","","","","",""
"OFFENSES","BLACK","WHITE","HISPANIC","OTHER","TOTAL"
"Burglary","45","103","0","2","150"
"Homicide/Manslaughter","140","79","1","0","220"
"Property","282","328","3","2","615"
"Possession of Drugs","131","329","7","1","468"
"Robbery","82","40","0","1","123"
"Sale of Drugs","178","162","2","1","343"
"Sex Offense","11","31","0","0","42"
"Violent","121","89","2","1","213"
"TOTAL","990","1,161","15","8","2,174"
