"COUNTY","JUN ‘10","JUN '09","JUN '08","JUN '07","JUN '06","JUN '05"
"Adams","3","4","5","10","2","4"
"Alcorn","6","2","4","1","5","5"
"Amite","3","0","0","0","1","1"
"Attala","12","6","5","5","0","2"
"Benton","6","1","0","2","0","0"
"Bolivar","7","2","2","3","1","5"
"Calhoun","5","3","1","3","0","4"
"Carroll","9","0","0","2","2","3"
"Chickasaw","22","8","4","3","3","3"
"Choctaw","4","1","2","1","0","1"
"Clairborne","1","1","0","0","2","0"
"Clarke","2","0","0","0","0","1"
"Clay","17","4","7","8","13","8"
"Coahoma","4","2","2","2","0","1"
"Copiah","12","2","6","5","3","4"
"Covington","3","1","0","0","0","2"
"DeSoto","39","4","8","6","4","5"
"Forrest","13","3","8","3","5","9"
"Franklin","4","2","1","0","0","2"
"George","0","3","1","3","1","3"
"Greene","1","0","0","2","1","0"
"Grenada","9","6","2","5","2","2"
"Hancock","4","2","3","2","4","7"
"Harrison","33","11","9","13","1","23"
"Hinds","36","20","11","11","9","16"
"Holmes","1","3","3","1","0","2"
"Humphreys","0","1","0","1","0","1"
"Issaquena","0","0","0","0","0","1"
"Itawamba","10","2","2","0","0","2"
"Jackson","4","3","2","3","4","7"
"Jasper","2","3","0","0","2","0"
"Jefferson","2","2","1","0","0","1"
"Jeff Davis","4","0","0","1","0","0"
"Jones","14","11","6","6","2","8"
"Kemper","3","0","0","0","0","0"
"Lafayette","6","1","3","1","3","5"
"Lamar","0","1","4","1","1","6"
