"FEMALE","BLACK","WHITE","HISPANIC","OTHER","TOTAL","%"
"Less than 1 year","33","52","0","1","86","6.52"
"1 - 2 Years","123","132","2","1","258","19.55"
"3 - 5 Years","238","320","4","0","562","42.58"
"6 - 10 Years","137","169","1","0","307","23.26"
"11 - 20 Years","57","40","1","0","98","7.42"
"21 -30 Years","4","1","1","1","7",".53"
"Greater Than 30 Years","0","0","0","0","0",".00"
"Life","1","1","0","0","2",".15"
"Verification Pending","0","0","0","0","0",".00"
"TOTAL","593","715","9","3","1,320","100.00"
