"AGE","MALE","FEMALE","","TOTAL","PERCENT"
"15","0","0","","0",".00"
"16","0","0","","0",".00"
"17","0","0","","0",".00"
"18 - 19","58","5","","63","1.68"
"20 - 29","1,387","174","","1,561","41.59"
"30 - 39","1,087","150","","1,237","32.96"
"40 - 49","516","118","","634","16.89"
"50 - 59","199","31","","230","6.13"
"60 - 69","20","4","","24",".64"
"70 - 79","3","1","","4",".11"
"80+","0","0","","0",".00"
"Verification Pending","0","0","","0",".00"
