"AGE","MALE","FEMALE","TOTAL","%"
"13","0","0","0",".00"
"14","0","0","0",".00"
"15","5","0","5",".02"
"16","12","0","12",".05"
"17","54","3","57",".24"
"18  -  19","504","16","520","2.18"
"20  -  29","7,597","668","8,265","34.57"
"30  -  39","6,600","712","7,312","30.58"
"40  -  49","4,346","536","4,882","20.42"
"50  -  59","2,084","198","2,282","9.54"
"60  -  69","429","35","464","1.94"
"70  -  79","86","6","92",".38"
"80+","10","0","10",".04"
"Verification Pending","8","0","8",".03"
