"","","","Offenders Age 50 and Over","","",""
"","","","County of Conviction","","",""
"","COUNTY","OFFENDERS","%","COUNTY","OFFENDERS","%"
"","Alcorn","7","3.07","Montgomery","2",".88"
"","Attala","2",".88","Panola","5","2.19"
"","Benton","2",".88","Pontotoc","8","3.51"
"","Bolivar","7","3.07","Prentiss","11","4.82"
"","Calhoun","7","3.07","Quitman","2",".88"
"","Carroll","3","1.32","Sunflower","2",".88"
"","Chickasaw","5","2.19","Tallahatchie","1",".44"
"Northern","Choctaw","3","1.32","Tate","4","1.75"
"Counties","","","","","",""
"","Coahoma","9","3.95","Tippah","9","3.95"
"","Desoto","36","15.79","Tishomingo","1",".44"
"","Grenada","10","4.39","Tunica","3","1.32"
"","Itawamba","3","1.32","Union","9","3.95"
"","Lafayette","5","2.19","Washington","11","4.82"
"","Lee","22","9.65","Webster","3","1.32"
"","Leflore","7","3.07","Winston","7","3.07"
"","Marshall","7","3.07","Yalobusha","4","1.75"
"","Monroe","11","4.82","TOTAL","228","34.34"
