"JUN '04","JUN '03","JUN '02","JUN '01","JUN '00","TOTAL"
"22","11","20","33","54","184"
"0","0","0","0","0","6"
"5","6","10","0","0","61"
"7","13","10","23","10","147"
"5","4","5","6","4","41"
"3","6","4","12","10","50"
"17","12","14","20","21","209"
"7","6","2","2","2","61"
"7","5","6","1","1","46"
"1","3","6","12","17","66"
"8","9","4","10","11","102"
"0","5","3","5","3","22"
"17","10","9","0","0","87"
"8","5","5","5","0","54"
"0","0","3","1","0","17"
"15","2","5","6","9","101"
"11","15","7","17","7","101"
"5","8","9","7","0","42"
"0","0","0","0","0","0"
"9","3","1","10","17","68"
"7","7","9","9","7","92"
"3","7","7","7","2","43"
"1","0","1","5","4","12"
"27","21","19","24","23","195"
"9","5","4","4","0","65"
"0","2","1","1","1","8"
"1","6","5","3","0","25"
"3","1","1","2","1","17"
"0","1","3","2","0","10"
"2","2","3","8","11","49"
"2","1","3","6","0","33"
"1","7","2","4","2","34"
"3","3","2","4","8","30"
"3","0","1","0","1","10"
"0","0","0","4","3","12"
"6","4","6","8","8","61"
"1","0","4","3","3","18"
